Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,11987,11115,23102,Ponparkyin(ST),MMR016008
 Grade 1,1411,994,2405,Ponparkyin(ST),MMR016008
 Grade 2,1242,869,2111,Ponparkyin(ST),MMR016008
 Grade 3,1256,838,2094,Ponparkyin(ST),MMR016008
 Grade 4,1065,691,1756,Ponparkyin(ST),MMR016008
 Grade 5,1016,683,1699,Ponparkyin(ST),MMR016008
 Grade 6,827,590,1417,Ponparkyin(ST),MMR016008
 Grade 7,565,373,938,Ponparkyin(ST),MMR016008
 Grade 8,445,306,751,Ponparkyin(ST),MMR016008
 Grade 9,507,359,866,Ponparkyin(ST),MMR016008
 Grade 10,422,348,770,Ponparkyin(ST),MMR016008
 Grade 11,132,141,273,Ponparkyin(ST),MMR016008
 College,130,103,233,Ponparkyin(ST),MMR016008
 Vocational training,17,8,25,Ponparkyin(ST),MMR016008
 Undergraduate diploma,17,10,27,Ponparkyin(ST),MMR016008
 Graduate,96,80,176,Ponparkyin(ST),MMR016008
 Postgraduate diploma,12,11,23,Ponparkyin(ST),MMR016008
 Master degree,4,1,5,Ponparkyin(ST),MMR016008
 Other,39,9,48,Ponparkyin(ST),MMR016008
 Total,21190,17529,38719,Ponparkyin(ST),MMR016008
