Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,10524,24342,34866,Pyawbwe,MMR010024
 Grade 1,3666,3993,7659,Pyawbwe,MMR010024
 Grade 2,4313,6688,11001,Pyawbwe,MMR010024
 Grade 3,6586,10550,17136,Pyawbwe,MMR010024
 Grade 4,13816,17782,31598,Pyawbwe,MMR010024
 Grade 5,27316,30655,57971,Pyawbwe,MMR010024
 Grade 6,7009,6745,13754,Pyawbwe,MMR010024
 Grade 7,6852,5788,12640,Pyawbwe,MMR010024
 Grade 8,7336,5492,12828,Pyawbwe,MMR010024
 Grade 9,5969,4183,10152,Pyawbwe,MMR010024
 Grade 10,7593,6219,13812,Pyawbwe,MMR010024
 Grade 11,2186,1526,3712,Pyawbwe,MMR010024
 College,1686,1684,3370,Pyawbwe,MMR010024
 Vocational training,86,55,141,Pyawbwe,MMR010024
 Undergraduate diploma,256,149,405,Pyawbwe,MMR010024
 Graduate,2448,3843,6291,Pyawbwe,MMR010024
 Postgraduate diploma,37,77,114,Pyawbwe,MMR010024
 Master degree,40,70,110,Pyawbwe,MMR010024
 PhD,4,6,10,Pyawbwe,MMR010024
 Other,578,394,972,Pyawbwe,MMR010024
 Total,108301,130241,238542,Pyawbwe,MMR010024
