Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,5150,5705,10855,Pyinsalu(ST),MMR017016
 Grade 1,1845,1889,3734,Pyinsalu(ST),MMR017016
 Grade 2,2488,2584,5072,Pyinsalu(ST),MMR017016
 Grade 3,3823,4113,7936,Pyinsalu(ST),MMR017016
 Grade 4,4738,4642,9380,Pyinsalu(ST),MMR017016
 Grade 5,8142,6926,15068,Pyinsalu(ST),MMR017016
 Grade 6,2949,2194,5143,Pyinsalu(ST),MMR017016
 Grade 7,1862,1321,3183,Pyinsalu(ST),MMR017016
 Grade 8,1762,1218,2980,Pyinsalu(ST),MMR017016
 Grade 9,1627,1233,2860,Pyinsalu(ST),MMR017016
 Grade 10,1143,979,2122,Pyinsalu(ST),MMR017016
 Grade 11,889,809,1698,Pyinsalu(ST),MMR017016
 College,241,236,477,Pyinsalu(ST),MMR017016
 Vocational training,11,8,19,Pyinsalu(ST),MMR017016
 Undergraduate diploma,46,30,76,Pyinsalu(ST),MMR017016
 Graduate,269,439,708,Pyinsalu(ST),MMR017016
 Postgraduate diploma,3,2,5,Pyinsalu(ST),MMR017016
 Master degree,4,8,12,Pyinsalu(ST),MMR017016
 PhD,1,2,3,Pyinsalu(ST),MMR017016
 Other,689,390,1079,Pyinsalu(ST),MMR017016
 Total,37682,34728,72410,Pyinsalu(ST),MMR017016
