Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,11841,19770,31611,Pyu,MMR007012
 Grade 1,4205,4387,8592,Pyu,MMR007012
 Grade 2,5428,6657,12085,Pyu,MMR007012
 Grade 3,7392,10141,17533,Pyu,MMR007012
 Grade 4,10570,13901,24471,Pyu,MMR007012
 Grade 5,18253,22315,40568,Pyu,MMR007012
 Grade 6,8203,7979,16182,Pyu,MMR007012
 Grade 7,7321,6485,13806,Pyu,MMR007012
 Grade 8,7516,6096,13612,Pyu,MMR007012
 Grade 9,7883,6472,14355,Pyu,MMR007012
 Grade 10,6618,5138,11756,Pyu,MMR007012
 Grade 11,6774,5772,12546,Pyu,MMR007012
 College,1809,1828,3637,Pyu,MMR007012
 Vocational training,140,81,221,Pyu,MMR007012
 Undergraduate diploma,342,199,541,Pyu,MMR007012
 Graduate,2963,5009,7972,Pyu,MMR007012
 Postgraduate diploma,44,64,108,Pyu,MMR007012
 Master degree,27,40,67,Pyu,MMR007012
 PhD,2,2,4,Pyu,MMR007012
 Other,1066,1304,2370,Pyu,MMR007012
 Total,108397,123640,232037,Pyu,MMR007012
