Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,168,343,511,Rihkhuadal(ST),MMR004001
 Grade 1,122,112,234,Rihkhuadal(ST),MMR004001
 Grade 2,130,145,275,Rihkhuadal(ST),MMR004001
 Grade 3,165,199,364,Rihkhuadal(ST),MMR004001
 Grade 4,204,238,442,Rihkhuadal(ST),MMR004001
 Grade 5,378,388,766,Rihkhuadal(ST),MMR004001
 Grade 6,223,229,452,Rihkhuadal(ST),MMR004001
 Grade 7,206,174,380,Rihkhuadal(ST),MMR004001
 Grade 8,228,196,424,Rihkhuadal(ST),MMR004001
 Grade 9,287,237,524,Rihkhuadal(ST),MMR004001
 Grade 10,239,207,446,Rihkhuadal(ST),MMR004001
 Grade 11,373,316,689,Rihkhuadal(ST),MMR004001
 College,46,44,90,Rihkhuadal(ST),MMR004001
 Vocational training,8,3,11,Rihkhuadal(ST),MMR004001
 Undergraduate diploma,8,11,19,Rihkhuadal(ST),MMR004001
 Graduate,108,79,187,Rihkhuadal(ST),MMR004001
 Postgraduate diploma,8,2,10,Rihkhuadal(ST),MMR004001
 Master degree,4,4,8,Rihkhuadal(ST),MMR004001
 PhD,-,1,1,Rihkhuadal(ST),MMR004001
 Other,1,-,1,Rihkhuadal(ST),MMR004001
 Total,2906,2928,5834,Rihkhuadal(ST),MMR004001
