Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,54,31,85,Seikkan,MMR013045
 Grade 1,23,21,44,Seikkan,MMR013045
 Grade 2,41,39,80,Seikkan,MMR013045
 Grade 3,63,46,109,Seikkan,MMR013045
 Grade 4,125,98,223,Seikkan,MMR013045
 Grade 5,137,142,279,Seikkan,MMR013045
 Grade 6,68,60,128,Seikkan,MMR013045
 Grade 7,97,50,147,Seikkan,MMR013045
 Grade 8,112,84,196,Seikkan,MMR013045
 Grade 9,150,72,222,Seikkan,MMR013045
 Grade 10,244,146,390,Seikkan,MMR013045
 Grade 11,220,64,284,Seikkan,MMR013045
 College,77,27,104,Seikkan,MMR013045
 Undergraduate diploma,8,2,10,Seikkan,MMR013045
 Graduate,190,149,339,Seikkan,MMR013045
 Postgraduate diploma,12,4,16,Seikkan,MMR013045
 Master degree,3,1,4,Seikkan,MMR013045
 PhD,1,1,2,Seikkan,MMR013045
 Other,3,4,7,Seikkan,MMR013045
 Total,1628,1041,2669,Seikkan,MMR013045
