Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,710,1022,1732,Shinbwayyan(ST),MMR001004
 Grade 1,295,274,569,Shinbwayyan(ST),MMR001004
 Grade 2,274,240,514,Shinbwayyan(ST),MMR001004
 Grade 3,407,369,776,Shinbwayyan(ST),MMR001004
 Grade 4,533,436,969,Shinbwayyan(ST),MMR001004
 Grade 5,762,482,1244,Shinbwayyan(ST),MMR001004
 Grade 6,441,291,732,Shinbwayyan(ST),MMR001004
 Grade 7,356,256,612,Shinbwayyan(ST),MMR001004
 Grade 8,402,247,649,Shinbwayyan(ST),MMR001004
 Grade 9,367,248,615,Shinbwayyan(ST),MMR001004
 Grade 10,467,305,772,Shinbwayyan(ST),MMR001004
 Grade 11,227,156,383,Shinbwayyan(ST),MMR001004
 College,90,75,165,Shinbwayyan(ST),MMR001004
 Vocational training,15,2,17,Shinbwayyan(ST),MMR001004
 Undergraduate diploma,14,7,21,Shinbwayyan(ST),MMR001004
 Graduate,107,95,202,Shinbwayyan(ST),MMR001004
 Postgraduate diploma,3,8,11,Shinbwayyan(ST),MMR001004
 Master degree,1,4,5,Shinbwayyan(ST),MMR001004
 PhD,1,-,1,Shinbwayyan(ST),MMR001004
 Other,2,1,3,Shinbwayyan(ST),MMR001004
 Total,5474,4518,9992,Shinbwayyan(ST),MMR001004
