Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,4812,5498,10310,Shwegyin,MMR007008
 Grade 1,2464,2451,4915,Shwegyin,MMR007008
 Grade 2,3089,3689,6778,Shwegyin,MMR007008
 Grade 3,4636,5742,10378,Shwegyin,MMR007008
 Grade 4,5454,6172,11626,Shwegyin,MMR007008
 Grade 5,8198,8822,17020,Shwegyin,MMR007008
 Grade 6,3281,3098,6379,Shwegyin,MMR007008
 Grade 7,2549,2220,4769,Shwegyin,MMR007008
 Grade 8,2613,1985,4598,Shwegyin,MMR007008
 Grade 9,2658,1879,4537,Shwegyin,MMR007008
 Grade 10,2096,1578,3674,Shwegyin,MMR007008
 Grade 11,2708,2645,5353,Shwegyin,MMR007008
 College,726,685,1411,Shwegyin,MMR007008
 Vocational training,39,28,67,Shwegyin,MMR007008
 Undergraduate diploma,87,104,191,Shwegyin,MMR007008
 Graduate,997,1514,2511,Shwegyin,MMR007008
 Postgraduate diploma,21,11,32,Shwegyin,MMR007008
 Master degree,27,15,42,Shwegyin,MMR007008
 PhD,21,10,31,Shwegyin,MMR007008
 Other,417,199,616,Shwegyin,MMR007008
 Total,46893,48345,95238,Shwegyin,MMR007008
