Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,6042,11282,17324,Sittway,MMR012001
 Grade 1,2116,2411,4527,Sittway,MMR012001
 Grade 2,2871,4219,7090,Sittway,MMR012001
 Grade 3,3968,6023,9991,Sittway,MMR012001
 Grade 4,5643,7530,13173,Sittway,MMR012001
 Grade 5,7940,8917,16857,Sittway,MMR012001
 Grade 6,4445,4151,8596,Sittway,MMR012001
 Grade 7,3928,3362,7290,Sittway,MMR012001
 Grade 8,4525,3307,7832,Sittway,MMR012001
 Grade 9,5315,3441,8756,Sittway,MMR012001
 Grade 10,4386,3207,7593,Sittway,MMR012001
 Grade 11,5840,4901,10741,Sittway,MMR012001
 College,2117,1761,3878,Sittway,MMR012001
 Vocational training,163,105,268,Sittway,MMR012001
 Undergraduate diploma,342,144,486,Sittway,MMR012001
 Graduate,4942,6730,11672,Sittway,MMR012001
 Postgraduate diploma,167,278,445,Sittway,MMR012001
 Master degree,116,277,393,Sittway,MMR012001
 PhD,22,61,83,Sittway,MMR012001
 Other,87,97,184,Sittway,MMR012001
 Total,64975,72204,137179,Sittway,MMR012001
