Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,1470,2774,4244,South Okkalapa,MMR013011
 Grade 1,1017,1158,2175,South Okkalapa,MMR013011
 Grade 2,1325,1672,2997,South Okkalapa,MMR013011
 Grade 3,1880,2661,4541,South Okkalapa,MMR013011
 Grade 4,2828,4253,7081,South Okkalapa,MMR013011
 Grade 5,6548,9554,16102,South Okkalapa,MMR013011
 Grade 6,3905,4787,8692,South Okkalapa,MMR013011
 Grade 7,3456,3749,7205,South Okkalapa,MMR013011
 Grade 8,4733,4589,9322,South Okkalapa,MMR013011
 Grade 9,7014,6246,13260,South Okkalapa,MMR013011
 Grade 10,6529,5496,12025,South Okkalapa,MMR013011
 Grade 11,13386,12102,25488,South Okkalapa,MMR013011
 College,5333,4081,9414,South Okkalapa,MMR013011
 Vocational training,361,94,455,South Okkalapa,MMR013011
 Undergraduate diploma,595,231,826,South Okkalapa,MMR013011
 Graduate,10374,16654,27028,South Okkalapa,MMR013011
 Postgraduate diploma,301,464,765,South Okkalapa,MMR013011
 Master degree,221,657,878,South Okkalapa,MMR013011
 PhD,66,155,221,South Okkalapa,MMR013011
 Other,161,182,343,South Okkalapa,MMR013011
 Total,71503,81559,153062,South Okkalapa,MMR013011
