Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,1053,1095,2148,Sugali(ST),MMR003005
 Grade 1,277,209,486,Sugali(ST),MMR003005
 Grade 2,176,160,336,Sugali(ST),MMR003005
 Grade 3,189,160,349,Sugali(ST),MMR003005
 Grade 4,189,164,353,Sugali(ST),MMR003005
 Grade 5,187,160,347,Sugali(ST),MMR003005
 Grade 6,106,93,199,Sugali(ST),MMR003005
 Grade 7,65,58,123,Sugali(ST),MMR003005
 Grade 8,61,41,102,Sugali(ST),MMR003005
 Grade 9,67,48,115,Sugali(ST),MMR003005
 Grade 10,44,34,78,Sugali(ST),MMR003005
 Grade 11,49,33,82,Sugali(ST),MMR003005
 College,17,13,30,Sugali(ST),MMR003005
 Vocational training,3,3,6,Sugali(ST),MMR003005
 Undergraduate diploma,1,1,2,Sugali(ST),MMR003005
 Graduate,27,13,40,Sugali(ST),MMR003005
 Postgraduate diploma,1,1,2,Sugali(ST),MMR003005
 Other,60,46,106,Sugali(ST),MMR003005
 Total,2572,2332,4904,Sugali(ST),MMR003005
