Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,22064,24859,46923,Tachileik,MMR016009
 Grade 1,2171,1902,4073,Tachileik,MMR016009
 Grade 2,2455,2263,4718,Tachileik,MMR016009
 Grade 3,3219,3067,6286,Tachileik,MMR016009
 Grade 4,3957,3810,7767,Tachileik,MMR016009
 Grade 5,6618,5994,12612,Tachileik,MMR016009
 Grade 6,3641,3386,7027,Tachileik,MMR016009
 Grade 7,3101,2877,5978,Tachileik,MMR016009
 Grade 8,3504,2972,6476,Tachileik,MMR016009
 Grade 9,4178,3314,7492,Tachileik,MMR016009
 Grade 10,3890,3408,7298,Tachileik,MMR016009
 Grade 11,4135,3821,7956,Tachileik,MMR016009
 College,1182,1044,2226,Tachileik,MMR016009
 Vocational training,34,33,67,Tachileik,MMR016009
 Undergraduate diploma,142,134,276,Tachileik,MMR016009
 Graduate,2074,2488,4562,Tachileik,MMR016009
 Postgraduate diploma,34,30,64,Tachileik,MMR016009
 Master degree,32,31,63,Tachileik,MMR016009
 PhD,4,3,7,Tachileik,MMR016009
 Other,1669,1020,2689,Tachileik,MMR016009
 Total,68104,66456,134560,Tachileik,MMR016009
