Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,2080,1904,3984,Tada(ST),MMR013024
 Grade 1,655,623,1278,Tada(ST),MMR013024
 Grade 2,806,1011,1817,Tada(ST),MMR013024
 Grade 3,1199,1638,2837,Tada(ST),MMR013024
 Grade 4,1977,2428,4405,Tada(ST),MMR013024
 Grade 5,3802,4398,8200,Tada(ST),MMR013024
 Grade 6,989,982,1971,Tada(ST),MMR013024
 Grade 7,796,677,1473,Tada(ST),MMR013024
 Grade 8,848,623,1471,Tada(ST),MMR013024
 Grade 9,755,532,1287,Tada(ST),MMR013024
 Grade 10,752,518,1270,Tada(ST),MMR013024
 Grade 11,247,183,430,Tada(ST),MMR013024
 College,280,173,453,Tada(ST),MMR013024
 Vocational training,30,27,57,Tada(ST),MMR013024
 Undergraduate diploma,17,10,27,Tada(ST),MMR013024
 Graduate,265,476,741,Tada(ST),MMR013024
 Postgraduate diploma,5,6,11,Tada(ST),MMR013024
 Master degree,1,11,12,Tada(ST),MMR013024
 PhD,-,1,1,Tada(ST),MMR013024
 Other,263,139,402,Tada(ST),MMR013024
 Total,15767,16360,32127,Tada(ST),MMR013024
