Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,1814,2227,4041,Tagaung,MMR010012
 Grade 1,648,677,1325,Tagaung,MMR010012
 Grade 2,845,1023,1868,Tagaung,MMR010012
 Grade 3,1225,1681,2906,Tagaung,MMR010012
 Grade 4,1773,2154,3927,Tagaung,MMR010012
 Grade 5,3702,4052,7754,Tagaung,MMR010012
 Grade 6,1237,1091,2328,Tagaung,MMR010012
 Grade 7,917,747,1664,Tagaung,MMR010012
 Grade 8,889,661,1550,Tagaung,MMR010012
 Grade 9,875,582,1457,Tagaung,MMR010012
 Grade 10,548,377,925,Tagaung,MMR010012
 Grade 11,760,553,1313,Tagaung,MMR010012
 College,219,186,405,Tagaung,MMR010012
 Vocational training,8,2,10,Tagaung,MMR010012
 Undergraduate diploma,33,12,45,Tagaung,MMR010012
 Graduate,279,345,624,Tagaung,MMR010012
 Postgraduate diploma,6,7,13,Tagaung,MMR010012
 Master degree,4,1,5,Tagaung,MMR010012
 Other,8,5,13,Tagaung,MMR010012
 Total,15790,16383,32173,Tagaung,MMR010012
