Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,1095,1991,3086,Tamu,MMR005030
 Grade 1,829,905,1734,Tamu,MMR005030
 Grade 2,965,1101,2066,Tamu,MMR005030
 Grade 3,1376,1639,3015,Tamu,MMR005030
 Grade 4,1608,1955,3563,Tamu,MMR005030
 Grade 5,4794,5080,9874,Tamu,MMR005030
 Grade 6,2108,1941,4049,Tamu,MMR005030
 Grade 7,1814,1572,3386,Tamu,MMR005030
 Grade 8,2075,1691,3766,Tamu,MMR005030
 Grade 9,2750,2148,4898,Tamu,MMR005030
 Grade 10,1546,1265,2811,Tamu,MMR005030
 Grade 11,3084,3114,6198,Tamu,MMR005030
 College,682,720,1402,Tamu,MMR005030
 Vocational training,18,14,32,Tamu,MMR005030
 Undergraduate diploma,64,80,144,Tamu,MMR005030
 Graduate,1162,1738,2900,Tamu,MMR005030
 Postgraduate diploma,22,46,68,Tamu,MMR005030
 Master degree,4,20,24,Tamu,MMR005030
 PhD,1,1,2,Tamu,MMR005030
 Other,55,63,118,Tamu,MMR005030
 Total,26052,27084,53136,Tamu,MMR005030
