Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,2394,3716,6110,Tamway,MMR013015
 Grade 1,1314,1583,2897,Tamway,MMR013015
 Grade 2,1454,2209,3663,Tamway,MMR013015
 Grade 3,1877,2767,4644,Tamway,MMR013015
 Grade 4,3977,6719,10696,Tamway,MMR013015
 Grade 5,3767,4679,8446,Tamway,MMR013015
 Grade 6,2711,3217,5928,Tamway,MMR013015
 Grade 7,3651,4146,7797,Tamway,MMR013015
 Grade 8,5251,5946,11197,Tamway,MMR013015
 Grade 9,7081,7009,14090,Tamway,MMR013015
 Grade 10,10407,10941,21348,Tamway,MMR013015
 Grade 11,3529,2609,6138,Tamway,MMR013015
 College,5431,4563,9994,Tamway,MMR013015
 Vocational training,386,187,573,Tamway,MMR013015
 Undergraduate diploma,741,260,1001,Tamway,MMR013015
 Graduate,15092,24221,39313,Tamway,MMR013015
 Postgraduate diploma,517,618,1135,Tamway,MMR013015
 Master degree,319,867,1186,Tamway,MMR013015
 PhD,73,174,247,Tamway,MMR013015
 Other,414,186,600,Tamway,MMR013015
 Total,70386,86617,157003,Tamway,MMR013015
