Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,2135,3162,5297,Tanaing,MMR001004
 Grade 1,905,746,1651,Tanaing,MMR001004
 Grade 2,1187,1035,2222,Tanaing,MMR001004
 Grade 3,1643,1578,3221,Tanaing,MMR001004
 Grade 4,2088,1829,3917,Tanaing,MMR001004
 Grade 5,3333,2624,5957,Tanaing,MMR001004
 Grade 6,2007,1496,3503,Tanaing,MMR001004
 Grade 7,1750,1303,3053,Tanaing,MMR001004
 Grade 8,1788,1283,3071,Tanaing,MMR001004
 Grade 9,1866,1302,3168,Tanaing,MMR001004
 Grade 10,1602,1339,2941,Tanaing,MMR001004
 Grade 11,1529,1419,2948,Tanaing,MMR001004
 College,413,422,835,Tanaing,MMR001004
 Vocational training,16,14,30,Tanaing,MMR001004
 Undergraduate diploma,28,26,54,Tanaing,MMR001004
 Graduate,613,568,1181,Tanaing,MMR001004
 Postgraduate diploma,9,13,22,Tanaing,MMR001004
 Master degree,14,9,23,Tanaing,MMR001004
 PhD,-,2,2,Tanaing,MMR001004
 Other,87,35,122,Tanaing,MMR001004
 Total,23013,20205,43218,Tanaing,MMR001004
