Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,8568,15462,24030,Taungdwingyi,MMR009004
 Grade 1,2959,3260,6219,Taungdwingyi,MMR009004
 Grade 2,3949,5743,9692,Taungdwingyi,MMR009004
 Grade 3,6011,9998,16009,Taungdwingyi,MMR009004
 Grade 4,10507,14528,25035,Taungdwingyi,MMR009004
 Grade 5,29248,33209,62457,Taungdwingyi,MMR009004
 Grade 6,8483,7815,16298,Taungdwingyi,MMR009004
 Grade 7,7868,6340,14208,Taungdwingyi,MMR009004
 Grade 8,7965,6216,14181,Taungdwingyi,MMR009004
 Grade 9,7900,6071,13971,Taungdwingyi,MMR009004
 Grade 10,7309,5886,13195,Taungdwingyi,MMR009004
 Grade 11,4568,4213,8781,Taungdwingyi,MMR009004
 College,2166,1930,4096,Taungdwingyi,MMR009004
 Vocational training,134,107,241,Taungdwingyi,MMR009004
 Undergraduate diploma,252,164,416,Taungdwingyi,MMR009004
 Graduate,3433,4960,8393,Taungdwingyi,MMR009004
 Postgraduate diploma,77,161,238,Taungdwingyi,MMR009004
 Master degree,14,66,80,Taungdwingyi,MMR009004
 PhD,4,5,9,Taungdwingyi,MMR009004
 Other,119,90,209,Taungdwingyi,MMR009004
 Total,111534,126224,237758,Taungdwingyi,MMR009004
