Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,6373,7192,13565,Thabeikkyin,MMR010012
 Grade 1,1889,1893,3782,Thabeikkyin,MMR010012
 Grade 2,2373,2896,5269,Thabeikkyin,MMR010012
 Grade 3,3708,4944,8652,Thabeikkyin,MMR010012
 Grade 4,5030,6005,11035,Thabeikkyin,MMR010012
 Grade 5,15005,14152,29157,Thabeikkyin,MMR010012
 Grade 6,4670,4059,8729,Thabeikkyin,MMR010012
 Grade 7,3676,2754,6430,Thabeikkyin,MMR010012
 Grade 8,3682,2555,6237,Thabeikkyin,MMR010012
 Grade 9,3697,2342,6039,Thabeikkyin,MMR010012
 Grade 10,2413,1690,4103,Thabeikkyin,MMR010012
 Grade 11,2874,2131,5005,Thabeikkyin,MMR010012
 College,1206,819,2025,Thabeikkyin,MMR010012
 Vocational training,28,14,42,Thabeikkyin,MMR010012
 Undergraduate diploma,83,56,139,Thabeikkyin,MMR010012
 Graduate,1297,1396,2693,Thabeikkyin,MMR010012
 Postgraduate diploma,33,51,84,Thabeikkyin,MMR010012
 Master degree,142,30,172,Thabeikkyin,MMR010012
 PhD,23,3,26,Thabeikkyin,MMR010012
 Other,495,282,777,Thabeikkyin,MMR010012
 Total,58697,55264,113961,Thabeikkyin,MMR010012
