Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,2856,4391,7247,Thantlang,MMR004003
 Grade 1,1191,1140,2331,Thantlang,MMR004003
 Grade 2,1166,1389,2555,Thantlang,MMR004003
 Grade 3,1445,1672,3117,Thantlang,MMR004003
 Grade 4,2292,2338,4630,Thantlang,MMR004003
 Grade 5,2188,2192,4380,Thantlang,MMR004003
 Grade 6,1330,1361,2691,Thantlang,MMR004003
 Grade 7,1456,1289,2745,Thantlang,MMR004003
 Grade 8,1631,1498,3129,Thantlang,MMR004003
 Grade 9,1656,1663,3319,Thantlang,MMR004003
 Grade 10,1696,2063,3759,Thantlang,MMR004003
 Grade 11,871,848,1719,Thantlang,MMR004003
 College,186,137,323,Thantlang,MMR004003
 Vocational training,36,29,65,Thantlang,MMR004003
 Undergraduate diploma,119,65,184,Thantlang,MMR004003
 Graduate,585,380,965,Thantlang,MMR004003
 Postgraduate diploma,48,15,63,Thantlang,MMR004003
 Master degree,47,14,61,Thantlang,MMR004003
 PhD,5,2,7,Thantlang,MMR004003
 Other,9,11,20,Thantlang,MMR004003
 Total,20813,22497,43310,Thantlang,MMR004003
