Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,4296,6565,10861,Thapaung,MMR017003
 Grade 1,3283,3363,6646,Thapaung,MMR017003
 Grade 2,4158,5055,9213,Thapaung,MMR017003
 Grade 3,6050,7260,13310,Thapaung,MMR017003
 Grade 4,7580,8897,16477,Thapaung,MMR017003
 Grade 5,18775,19335,38110,Thapaung,MMR017003
 Grade 6,4448,3936,8384,Thapaung,MMR017003
 Grade 7,3607,2850,6457,Thapaung,MMR017003
 Grade 8,3549,2491,6040,Thapaung,MMR017003
 Grade 9,3440,2461,5901,Thapaung,MMR017003
 Grade 10,2874,2407,5281,Thapaung,MMR017003
 Grade 11,3142,2854,5996,Thapaung,MMR017003
 College,856,850,1706,Thapaung,MMR017003
 Vocational training,327,117,444,Thapaung,MMR017003
 Undergraduate diploma,100,75,175,Thapaung,MMR017003
 Graduate,1378,2457,3835,Thapaung,MMR017003
 Postgraduate diploma,11,52,63,Thapaung,MMR017003
 Master degree,13,28,41,Thapaung,MMR017003
 PhD,4,2,6,Thapaung,MMR017003
 Other,104,92,196,Thapaung,MMR017003
 Total,67995,71147,139142,Thapaung,MMR017003
