Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,14478,18107,32585,Thaton,MMR011007
 Grade 1,6389,6592,12981,Thaton,MMR011007
 Grade 2,8771,9093,17864,Thaton,MMR011007
 Grade 3,11018,12155,23173,Thaton,MMR011007
 Grade 4,11405,12738,24143,Thaton,MMR011007
 Grade 5,15683,16549,32232,Thaton,MMR011007
 Grade 6,5917,5709,11626,Thaton,MMR011007
 Grade 7,5117,4525,9642,Thaton,MMR011007
 Grade 8,5158,4345,9503,Thaton,MMR011007
 Grade 9,5458,3986,9444,Thaton,MMR011007
 Grade 10,4505,3882,8387,Thaton,MMR011007
 Grade 11,4552,4332,8884,Thaton,MMR011007
 College,1974,2182,4156,Thaton,MMR011007
 Vocational training,155,102,257,Thaton,MMR011007
 Undergraduate diploma,321,191,512,Thaton,MMR011007
 Graduate,2660,5106,7766,Thaton,MMR011007
 Postgraduate diploma,41,80,121,Thaton,MMR011007
 Master degree,59,76,135,Thaton,MMR011007
 PhD,9,6,15,Thaton,MMR011007
 Other,719,208,927,Thaton,MMR011007
 Total,104389,109964,214353,Thaton,MMR011007
