Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,4507,7114,11621,Thayet,MMR009012
 Grade 1,1267,1369,2636,Thayet,MMR009012
 Grade 2,1573,2365,3938,Thayet,MMR009012
 Grade 3,2839,4345,7184,Thayet,MMR009012
 Grade 4,3988,5074,9062,Thayet,MMR009012
 Grade 5,14162,15008,29170,Thayet,MMR009012
 Grade 6,2382,2299,4681,Thayet,MMR009012
 Grade 7,2006,1865,3871,Thayet,MMR009012
 Grade 8,2250,1896,4146,Thayet,MMR009012
 Grade 9,2889,2389,5278,Thayet,MMR009012
 Grade 10,2164,1697,3861,Thayet,MMR009012
 Grade 11,2423,2072,4495,Thayet,MMR009012
 College,839,830,1669,Thayet,MMR009012
 Vocational training,68,44,112,Thayet,MMR009012
 Undergraduate diploma,216,122,338,Thayet,MMR009012
 Graduate,1288,2160,3448,Thayet,MMR009012
 Postgraduate diploma,18,22,40,Thayet,MMR009012
 Master degree,7,24,31,Thayet,MMR009012
 PhD,3,2,5,Thayet,MMR009012
 Other,828,764,1592,Thayet,MMR009012
 Total,45717,51461,97178,Thayet,MMR009012
