Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,3182,5626,8808,Thingangyun,MMR013009
 Grade 1,1393,1526,2919,Thingangyun,MMR013009
 Grade 2,2067,2451,4518,Thingangyun,MMR013009
 Grade 3,3052,4083,7135,Thingangyun,MMR013009
 Grade 4,4164,5476,9640,Thingangyun,MMR013009
 Grade 5,9184,12287,21471,Thingangyun,MMR013009
 Grade 6,5356,6329,11685,Thingangyun,MMR013009
 Grade 7,4655,4827,9482,Thingangyun,MMR013009
 Grade 8,5986,5807,11793,Thingangyun,MMR013009
 Grade 9,8855,7781,16636,Thingangyun,MMR013009
 Grade 10,7549,6232,13781,Thingangyun,MMR013009
 Grade 11,16446,15411,31857,Thingangyun,MMR013009
 College,5729,5089,10818,Thingangyun,MMR013009
 Vocational training,434,149,583,Thingangyun,MMR013009
 Undergraduate diploma,964,535,1499,Thingangyun,MMR013009
 Graduate,12634,19615,32249,Thingangyun,MMR013009
 Postgraduate diploma,327,571,898,Thingangyun,MMR013009
 Master degree,290,741,1031,Thingangyun,MMR013009
 PhD,62,165,227,Thingangyun,MMR013009
 Other,190,155,345,Thingangyun,MMR013009
 Total,92519,104856,197375,Thingangyun,MMR013009
