Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,10126,11654,21780,Thongwa,MMR013025
 Grade 1,2353,2733,5086,Thongwa,MMR013025
 Grade 2,3484,4491,7975,Thongwa,MMR013025
 Grade 3,5253,7007,12260,Thongwa,MMR013025
 Grade 4,9845,12479,22324,Thongwa,MMR013025
 Grade 5,11575,13827,25402,Thongwa,MMR013025
 Grade 6,4129,4181,8310,Thongwa,MMR013025
 Grade 7,3949,3217,7166,Thongwa,MMR013025
 Grade 8,4328,3270,7598,Thongwa,MMR013025
 Grade 9,3464,2641,6105,Thongwa,MMR013025
 Grade 10,4037,3097,7134,Thongwa,MMR013025
 Grade 11,1080,875,1955,Thongwa,MMR013025
 College,1093,933,2026,Thongwa,MMR013025
 Vocational training,76,48,124,Thongwa,MMR013025
 Undergraduate diploma,106,66,172,Thongwa,MMR013025
 Graduate,1663,2889,4552,Thongwa,MMR013025
 Postgraduate diploma,21,79,100,Thongwa,MMR013025
 Master degree,6,37,43,Thongwa,MMR013025
 PhD,2,12,14,Thongwa,MMR013025
 Other,2329,2457,4786,Thongwa,MMR013025
 Total,68919,75993,144912,Thongwa,MMR013025
