Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,3178,4225,7403,Tigyaing,MMR005022
 Grade 1,1836,1912,3748,Tigyaing,MMR005022
 Grade 2,2281,2692,4973,Tigyaing,MMR005022
 Grade 3,3458,4633,8091,Tigyaing,MMR005022
 Grade 4,6097,7342,13439,Tigyaing,MMR005022
 Grade 5,17095,18426,35521,Tigyaing,MMR005022
 Grade 6,3941,4209,8150,Tigyaing,MMR005022
 Grade 7,3608,3319,6927,Tigyaing,MMR005022
 Grade 8,3721,2883,6604,Tigyaing,MMR005022
 Grade 9,3116,2353,5469,Tigyaing,MMR005022
 Grade 10,2653,2484,5137,Tigyaing,MMR005022
 Grade 11,1678,1584,3262,Tigyaing,MMR005022
 College,1305,892,2197,Tigyaing,MMR005022
 Vocational training,35,33,68,Tigyaing,MMR005022
 Undergraduate diploma,99,73,172,Tigyaing,MMR005022
 Graduate,1834,2013,3847,Tigyaing,MMR005022
 Postgraduate diploma,27,40,67,Tigyaing,MMR005022
 Master degree,10,15,25,Tigyaing,MMR005022
 PhD,1,4,5,Tigyaing,MMR005022
 Other,1556,972,2528,Tigyaing,MMR005022
 Total,57529,60104,117633,Tigyaing,MMR005022
