Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,4753,4754,9507,Tontar(ST),MMR016007
 Grade 1,152,141,293,Tontar(ST),MMR016007
 Grade 2,144,133,277,Tontar(ST),MMR016007
 Grade 3,196,127,323,Tontar(ST),MMR016007
 Grade 4,161,145,306,Tontar(ST),MMR016007
 Grade 5,316,247,563,Tontar(ST),MMR016007
 Grade 6,129,113,242,Tontar(ST),MMR016007
 Grade 7,119,88,207,Tontar(ST),MMR016007
 Grade 8,93,82,175,Tontar(ST),MMR016007
 Grade 9,109,74,183,Tontar(ST),MMR016007
 Grade 10,108,102,210,Tontar(ST),MMR016007
 Grade 11,61,46,107,Tontar(ST),MMR016007
 College,10,19,29,Tontar(ST),MMR016007
 Vocational training,4,3,7,Tontar(ST),MMR016007
 Undergraduate diploma,6,8,14,Tontar(ST),MMR016007
 Graduate,70,54,124,Tontar(ST),MMR016007
 Postgraduate diploma,8,-,8,Tontar(ST),MMR016007
 Master degree,4,-,4,Tontar(ST),MMR016007
 Other,85,14,99,Tontar(ST),MMR016007
 Total,6528,6150,12678,Tontar(ST),MMR016007
