Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,775,1512,2287,Tonzaung,MMR004005
 Grade 1,560,584,1144,Tonzaung,MMR004005
 Grade 2,511,594,1105,Tonzaung,MMR004005
 Grade 3,589,774,1363,Tonzaung,MMR004005
 Grade 4,730,785,1515,Tonzaung,MMR004005
 Grade 5,1266,1339,2605,Tonzaung,MMR004005
 Grade 6,687,639,1326,Tonzaung,MMR004005
 Grade 7,541,462,1003,Tonzaung,MMR004005
 Grade 8,537,447,984,Tonzaung,MMR004005
 Grade 9,669,514,1183,Tonzaung,MMR004005
 Grade 10,420,368,788,Tonzaung,MMR004005
 Grade 11,761,729,1490,Tonzaung,MMR004005
 College,80,64,144,Tonzaung,MMR004005
 Vocational training,7,13,20,Tonzaung,MMR004005
 Undergraduate diploma,46,27,73,Tonzaung,MMR004005
 Graduate,228,161,389,Tonzaung,MMR004005
 Postgraduate diploma,17,4,21,Tonzaung,MMR004005
 Master degree,8,2,10,Tonzaung,MMR004005
 PhD,1,-,1,Tonzaung,MMR004005
 Other,1,4,5,Tonzaung,MMR004005
 Total,8434,9022,17456,Tonzaung,MMR004005
