Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,14640,19586,34226,Wakema,MMR017017
 Grade 1,6672,6659,13331,Wakema,MMR017017
 Grade 2,8319,9389,17708,Wakema,MMR017017
 Grade 3,11973,14399,26372,Wakema,MMR017017
 Grade 4,14067,16024,30091,Wakema,MMR017017
 Grade 5,29808,31941,61749,Wakema,MMR017017
 Grade 6,7437,6848,14285,Wakema,MMR017017
 Grade 7,5879,4865,10744,Wakema,MMR017017
 Grade 8,6276,4538,10814,Wakema,MMR017017
 Grade 9,6432,4610,11042,Wakema,MMR017017
 Grade 10,4856,4008,8864,Wakema,MMR017017
 Grade 11,6008,5579,11587,Wakema,MMR017017
 College,1483,1404,2887,Wakema,MMR017017
 Vocational training,89,46,135,Wakema,MMR017017
 Undergraduate diploma,190,136,326,Wakema,MMR017017
 Graduate,2216,4178,6394,Wakema,MMR017017
 Postgraduate diploma,38,61,99,Wakema,MMR017017
 Master degree,6,35,41,Wakema,MMR017017
 PhD,5,2,7,Wakema,MMR017017
 Other,835,736,1571,Wakema,MMR017017
 Total,127229,135044,262273,Wakema,MMR017017
