Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,4336,8227,12563,Waw,MMR007004
 Grade 1,3434,3539,6973,Waw,MMR007004
 Grade 2,4352,5843,10195,Waw,MMR007004
 Grade 3,6545,9893,16438,Waw,MMR007004
 Grade 4,7797,10845,18642,Waw,MMR007004
 Grade 5,16035,18168,34203,Waw,MMR007004
 Grade 6,5059,5376,10435,Waw,MMR007004
 Grade 7,4281,3851,8132,Waw,MMR007004
 Grade 8,4049,3247,7296,Waw,MMR007004
 Grade 9,4164,3086,7250,Waw,MMR007004
 Grade 10,2589,1868,4457,Waw,MMR007004
 Grade 11,3684,3038,6722,Waw,MMR007004
 College,1037,922,1959,Waw,MMR007004
 Vocational training,50,33,83,Waw,MMR007004
 Undergraduate diploma,137,81,218,Waw,MMR007004
 Graduate,1511,2469,3980,Waw,MMR007004
 Postgraduate diploma,33,54,87,Waw,MMR007004
 Master degree,13,33,46,Waw,MMR007004
 PhD,6,3,9,Waw,MMR007004
 Other,5072,2684,7756,Waw,MMR007004
 Total,74184,83260,157444,Waw,MMR007004
