Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,13162,21113,34275,Wundwin,MMR010031
 Grade 1,2395,2668,5063,Wundwin,MMR010031
 Grade 2,3689,5460,9149,Wundwin,MMR010031
 Grade 3,6423,9736,16159,Wundwin,MMR010031
 Grade 4,9620,13066,22686,Wundwin,MMR010031
 Grade 5,27281,30873,58154,Wundwin,MMR010031
 Grade 6,5928,6444,12372,Wundwin,MMR010031
 Grade 7,5409,5295,10704,Wundwin,MMR010031
 Grade 8,5383,4428,9811,Wundwin,MMR010031
 Grade 9,5174,3893,9067,Wundwin,MMR010031
 Grade 10,3566,2713,6279,Wundwin,MMR010031
 Grade 11,4354,3444,7798,Wundwin,MMR010031
 College,1915,1665,3580,Wundwin,MMR010031
 Vocational training,86,83,169,Wundwin,MMR010031
 Undergraduate diploma,205,104,309,Wundwin,MMR010031
 Graduate,2558,3605,6163,Wundwin,MMR010031
 Postgraduate diploma,30,62,92,Wundwin,MMR010031
 Master degree,23,75,98,Wundwin,MMR010031
 PhD,6,6,12,Wundwin,MMR010031
 Other,348,271,619,Wundwin,MMR010031
 Total,97555,115004,212559,Wundwin,MMR010031
