Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,10316,14555,24871,Yaedashe,MMR007010
 Grade 1,3552,3842,7394,Yaedashe,MMR007010
 Grade 2,4613,6096,10709,Yaedashe,MMR007010
 Grade 3,6796,9453,16249,Yaedashe,MMR007010
 Grade 4,11008,12935,23943,Yaedashe,MMR007010
 Grade 5,17134,18436,35570,Yaedashe,MMR007010
 Grade 6,6672,6134,12806,Yaedashe,MMR007010
 Grade 7,5877,4665,10542,Yaedashe,MMR007010
 Grade 8,5971,4195,10166,Yaedashe,MMR007010
 Grade 9,5641,4152,9793,Yaedashe,MMR007010
 Grade 10,5476,4583,10059,Yaedashe,MMR007010
 Grade 11,4466,4162,8628,Yaedashe,MMR007010
 College,1594,1617,3211,Yaedashe,MMR007010
 Vocational training,200,91,291,Yaedashe,MMR007010
 Undergraduate diploma,323,188,511,Yaedashe,MMR007010
 Graduate,2645,4542,7187,Yaedashe,MMR007010
 Postgraduate diploma,49,103,152,Yaedashe,MMR007010
 Master degree,41,42,83,Yaedashe,MMR007010
 PhD,5,4,9,Yaedashe,MMR007010
 Other,297,299,596,Yaedashe,MMR007010
 Total,92676,100094,192770,Yaedashe,MMR007010
