Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,7888,10154,18042,Yatsauk,MMR014008
 Grade 1,3017,2633,5650,Yatsauk,MMR014008
 Grade 2,3486,3286,6772,Yatsauk,MMR014008
 Grade 3,5035,4944,9979,Yatsauk,MMR014008
 Grade 4,5787,5730,11517,Yatsauk,MMR014008
 Grade 5,10558,10241,20799,Yatsauk,MMR014008
 Grade 6,3481,3330,6811,Yatsauk,MMR014008
 Grade 7,2856,2447,5303,Yatsauk,MMR014008
 Grade 8,3040,2399,5439,Yatsauk,MMR014008
 Grade 9,2951,2310,5261,Yatsauk,MMR014008
 Grade 10,2953,2746,5699,Yatsauk,MMR014008
 Grade 11,2529,1917,4446,Yatsauk,MMR014008
 College,1178,866,2044,Yatsauk,MMR014008
 Vocational training,48,27,75,Yatsauk,MMR014008
 Undergraduate diploma,144,72,216,Yatsauk,MMR014008
 Graduate,2722,2240,4962,Yatsauk,MMR014008
 Postgraduate diploma,20,39,59,Yatsauk,MMR014008
 Master degree,412,37,449,Yatsauk,MMR014008
 PhD,23,4,27,Yatsauk,MMR014008
 Other,534,184,718,Yatsauk,MMR014008
 Total,58662,55606,114268,Yatsauk,MMR014008
