Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,3060,6090,9150,Ye U,MMR005009
 Grade 1,1373,1541,2914,Ye U,MMR005009
 Grade 2,1639,2292,3931,Ye U,MMR005009
 Grade 3,2179,4031,6210,Ye U,MMR005009
 Grade 4,3835,6310,10145,Ye U,MMR005009
 Grade 5,13365,19905,33270,Ye U,MMR005009
 Grade 6,3116,3474,6590,Ye U,MMR005009
 Grade 7,2878,2970,5848,Ye U,MMR005009
 Grade 8,3466,3050,6516,Ye U,MMR005009
 Grade 9,3238,2936,6174,Ye U,MMR005009
 Grade 10,2521,2608,5129,Ye U,MMR005009
 Grade 11,2254,2229,4483,Ye U,MMR005009
 College,925,944,1869,Ye U,MMR005009
 Vocational training,62,47,109,Ye U,MMR005009
 Undergraduate diploma,157,85,242,Ye U,MMR005009
 Graduate,1904,2851,4755,Ye U,MMR005009
 Postgraduate diploma,18,52,70,Ye U,MMR005009
 Master degree,15,42,57,Ye U,MMR005009
 PhD,4,1,5,Ye U,MMR005009
 Other,301,520,821,Ye U,MMR005009
 Total,46310,61978,108288,Ye U,MMR005009
