Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,5369,12131,17500,Yethedaung,MMR012008
 Grade 1,2811,3284,6095,Yethedaung,MMR012008
 Grade 2,3043,4585,7628,Yethedaung,MMR012008
 Grade 3,4307,7204,11511,Yethedaung,MMR012008
 Grade 4,6210,8386,14596,Yethedaung,MMR012008
 Grade 5,9091,9922,19013,Yethedaung,MMR012008
 Grade 6,3020,2922,5942,Yethedaung,MMR012008
 Grade 7,2394,1958,4352,Yethedaung,MMR012008
 Grade 8,2298,1637,3935,Yethedaung,MMR012008
 Grade 9,2119,1445,3564,Yethedaung,MMR012008
 Grade 10,1262,1019,2281,Yethedaung,MMR012008
 Grade 11,1580,1382,2962,Yethedaung,MMR012008
 College,618,421,1039,Yethedaung,MMR012008
 Vocational training,40,40,80,Yethedaung,MMR012008
 Undergraduate diploma,124,70,194,Yethedaung,MMR012008
 Graduate,923,942,1865,Yethedaung,MMR012008
 Postgraduate diploma,75,96,171,Yethedaung,MMR012008
 Master degree,11,7,18,Yethedaung,MMR012008
 PhD,3,-,3,Yethedaung,MMR012008
 Other,242,57,299,Yethedaung,MMR012008
 Total,45540,57508,103048,Yethedaung,MMR012008
