Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,4615,4354,8969,Ywarngan,MMR014007
 Grade 1,1229,1261,2490,Ywarngan,MMR014007
 Grade 2,2158,2163,4321,Ywarngan,MMR014007
 Grade 3,3558,3782,7340,Ywarngan,MMR014007
 Grade 4,4003,4022,8025,Ywarngan,MMR014007
 Grade 5,10308,9899,20207,Ywarngan,MMR014007
 Grade 6,2424,2575,4999,Ywarngan,MMR014007
 Grade 7,1725,1802,3527,Ywarngan,MMR014007
 Grade 8,1698,1680,3378,Ywarngan,MMR014007
 Grade 9,1621,1568,3189,Ywarngan,MMR014007
 Grade 10,999,949,1948,Ywarngan,MMR014007
 Grade 11,1513,1809,3322,Ywarngan,MMR014007
 College,310,476,786,Ywarngan,MMR014007
 Vocational training,35,34,69,Ywarngan,MMR014007
 Undergraduate diploma,75,65,140,Ywarngan,MMR014007
 Graduate,572,1083,1655,Ywarngan,MMR014007
 Postgraduate diploma,7,11,18,Ywarngan,MMR014007
 Master degree,6,13,19,Ywarngan,MMR014007
 PhD,1,-,1,Ywarngan,MMR014007
 Other,339,173,512,Ywarngan,MMR014007
 Total,37196,37719,74915,Ywarngan,MMR014007
