Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,213,224,437,Ywathit(ST),MMR002005
 Grade 1,38,24,62,Ywathit(ST),MMR002005
 Grade 2,79,45,124,Ywathit(ST),MMR002005
 Grade 3,153,88,241,Ywathit(ST),MMR002005
 Grade 4,134,100,234,Ywathit(ST),MMR002005
 Grade 5,194,132,326,Ywathit(ST),MMR002005
 Grade 6,80,77,157,Ywathit(ST),MMR002005
 Grade 7,79,58,137,Ywathit(ST),MMR002005
 Grade 8,60,51,111,Ywathit(ST),MMR002005
 Grade 9,70,33,103,Ywathit(ST),MMR002005
 Grade 10,38,26,64,Ywathit(ST),MMR002005
 Grade 11,94,58,152,Ywathit(ST),MMR002005
 College,21,17,38,Ywathit(ST),MMR002005
 Undergraduate diploma,2,4,6,Ywathit(ST),MMR002005
 Graduate,40,28,68,Ywathit(ST),MMR002005
 Postgraduate diploma,-,1,1,Ywathit(ST),MMR002005
 Total,1295,966,2261,Ywathit(ST),MMR002005
