Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,1299,2169,3468,Zabuthiri,MMR018002
 Grade 1,866,864,1730,Zabuthiri,MMR018002
 Grade 2,1001,1253,2254,Zabuthiri,MMR018002
 Grade 3,1390,1957,3347,Zabuthiri,MMR018002
 Grade 4,1899,2622,4521,Zabuthiri,MMR018002
 Grade 5,4742,6063,10805,Zabuthiri,MMR018002
 Grade 6,2532,2623,5155,Zabuthiri,MMR018002
 Grade 7,2165,1886,4051,Zabuthiri,MMR018002
 Grade 8,2449,2045,4494,Zabuthiri,MMR018002
 Grade 9,3531,2551,6082,Zabuthiri,MMR018002
 Grade 10,3041,2282,5323,Zabuthiri,MMR018002
 Grade 11,6439,5463,11902,Zabuthiri,MMR018002
 College,2308,1972,4280,Zabuthiri,MMR018002
 Vocational training,260,118,378,Zabuthiri,MMR018002
 Undergraduate diploma,553,378,931,Zabuthiri,MMR018002
 Graduate,11405,18685,30090,Zabuthiri,MMR018002
 Postgraduate diploma,299,596,895,Zabuthiri,MMR018002
 Master degree,744,1371,2115,Zabuthiri,MMR018002
 PhD,110,170,280,Zabuthiri,MMR018002
 Other,140,169,309,Zabuthiri,MMR018002
 Total,47173,55237,102410,Zabuthiri,MMR018002
