Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,5186,7655,12841,Zalun,MMR017009
 Grade 1,2624,2766,5390,Zalun,MMR017009
 Grade 2,3329,4244,7573,Zalun,MMR017009
 Grade 3,5800,8196,13996,Zalun,MMR017009
 Grade 4,6777,9071,15848,Zalun,MMR017009
 Grade 5,20205,24439,44644,Zalun,MMR017009
 Grade 6,4827,4519,9346,Zalun,MMR017009
 Grade 7,3847,3334,7181,Zalun,MMR017009
 Grade 8,4061,2965,7026,Zalun,MMR017009
 Grade 9,4434,3106,7540,Zalun,MMR017009
 Grade 10,3391,2575,5966,Zalun,MMR017009
 Grade 11,3702,3080,6782,Zalun,MMR017009
 College,989,1102,2091,Zalun,MMR017009
 Vocational training,63,49,112,Zalun,MMR017009
 Undergraduate diploma,128,124,252,Zalun,MMR017009
 Graduate,1480,2748,4228,Zalun,MMR017009
 Postgraduate diploma,36,62,98,Zalun,MMR017009
 Master degree,13,36,49,Zalun,MMR017009
 PhD,-,3,3,Zalun,MMR017009
 Other,1088,1057,2145,Zalun,MMR017009
 Total,71980,81131,153111,Zalun,MMR017009
