Highest_grade,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 None,1503,2173,3676,Zigon,MMR008011
 Grade 1,824,970,1794,Zigon,MMR008011
 Grade 2,1056,1470,2526,Zigon,MMR008011
 Grade 3,1620,2333,3953,Zigon,MMR008011
 Grade 4,4353,5631,9984,Zigon,MMR008011
 Grade 5,7034,8429,15463,Zigon,MMR008011
 Grade 6,2053,1970,4023,Zigon,MMR008011
 Grade 7,2133,1720,3853,Zigon,MMR008011
 Grade 8,2269,1794,4063,Zigon,MMR008011
 Grade 9,2105,1510,3615,Zigon,MMR008011
 Grade 10,2452,2055,4507,Zigon,MMR008011
 Grade 11,870,725,1595,Zigon,MMR008011
 College,407,450,857,Zigon,MMR008011
 Vocational training,47,29,76,Zigon,MMR008011
 Undergraduate diploma,91,60,151,Zigon,MMR008011
 Graduate,937,1588,2525,Zigon,MMR008011
 Postgraduate diploma,20,24,44,Zigon,MMR008011
 Master degree,5,14,19,Zigon,MMR008011
 PhD,1,-,1,Zigon,MMR008011
 Other,41,44,85,Zigon,MMR008011
 Total,29821,32989,62810,Zigon,MMR008011
