Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),44787,48055,92842,Bilin,MMR011010
 Associate Scrutiny Card (blue),43,40,83,Bilin,MMR011010
 Naturalised Scrutiny Card (green),198,120,318,Bilin,MMR011010
 National Registration Card (3-fold),660,924,1584,Bilin,MMR011010
 Religious card,1563,223,1786,Bilin,MMR011010
 Temporary Registration Card (white),168,125,293,Bilin,MMR011010
 Foreign Registration Card (FRC),5,4,9,Bilin,MMR011010
 Foreign Passport,18,18,36,Bilin,MMR011010
 None,20630,24518,45148,Bilin,MMR011010
 Child under 10 years,19848,19128,38976,Bilin,MMR011010
 Total,87920,93155,181075,Bilin,MMR011010
