Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),76934,68868,145802,Bogale,MMR017024
 Associate Scrutiny Card (blue),56,67,123,Bogale,MMR017024
 Naturalised Scrutiny Card (green),235,186,421,Bogale,MMR017024
 National Registration Card (3-fold),681,1009,1690,Bogale,MMR017024
 Religious card,991,46,1037,Bogale,MMR017024
 Temporary Registration Card (white),315,317,632,Bogale,MMR017024
 Foreign Registration Card (FRC),12,21,33,Bogale,MMR017024
 Foreign Passport,33,42,75,Bogale,MMR017024
 None,44162,57532,101694,Bogale,MMR017024
 Child under 10 years,35877,35281,71158,Bogale,MMR017024
 Total,159296,163369,322665,Bogale,MMR017024
