Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),10606,8486,19092,Bokepyin,MMR006010
 Associate Scrutiny Card (blue),13,14,27,Bokepyin,MMR006010
 Naturalised Scrutiny Card (green),113,37,150,Bokepyin,MMR006010
 National Registration Card (3-fold),838,918,1756,Bokepyin,MMR006010
 Religious card,96,4,100,Bokepyin,MMR006010
 Temporary Registration Card (white),144,205,349,Bokepyin,MMR006010
 Foreign Registration Card (FRC),-,1,1,Bokepyin,MMR006010
 Foreign Passport,8,3,11,Bokepyin,MMR006010
 None,7299,6324,13623,Bokepyin,MMR006010
 Child under 10 years,5875,5837,11712,Bokepyin,MMR006010
 Total,24992,21829,46821,Bokepyin,MMR006010
