Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),30589,41129,71718,Chaungzon,MMR011003
 Associate Scrutiny Card (blue),11,21,32,Chaungzon,MMR011003
 Naturalised Scrutiny Card (green),153,116,269,Chaungzon,MMR011003
 National Registration Card (3-fold),1465,2091,3556,Chaungzon,MMR011003
 Religious card,605,19,624,Chaungzon,MMR011003
 Temporary Registration Card (white),79,81,160,Chaungzon,MMR011003
 Foreign Registration Card (FRC),1,1,2,Chaungzon,MMR011003
 Foreign Passport,10,7,17,Chaungzon,MMR011003
 None,10897,11723,22620,Chaungzon,MMR011003
 Child under 10 years,11786,11342,23128,Chaungzon,MMR011003
 Total,55596,66530,122126,Chaungzon,MMR011003
