Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),1169,850,2019,Chinshwehaw(ST),MMR015022
 Naturalised Scrutiny Card (green),16,9,25,Chinshwehaw(ST),MMR015022
 National Registration Card (3-fold),398,383,781,Chinshwehaw(ST),MMR015022
 Religious card,8,7,15,Chinshwehaw(ST),MMR015022
 Temporary Registration Card (white),9,3,12,Chinshwehaw(ST),MMR015022
 Foreign Registration Card (FRC),68,29,97,Chinshwehaw(ST),MMR015022
 Foreign Passport,2,1,3,Chinshwehaw(ST),MMR015022
 None,458,473,931,Chinshwehaw(ST),MMR015022
 Child under 10 years,510,496,1006,Chinshwehaw(ST),MMR015022
 Total,2638,2251,4889,Chinshwehaw(ST),MMR015022
