Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),38131,44633,82764,Depayin,MMR005010
 Associate Scrutiny Card (blue),12,10,22,Depayin,MMR005010
 Naturalised Scrutiny Card (green),80,49,129,Depayin,MMR005010
 National Registration Card (3-fold),251,432,683,Depayin,MMR005010
 Religious card,482,15,497,Depayin,MMR005010
 Temporary Registration Card (white),35,36,71,Depayin,MMR005010
 Foreign Registration Card (FRC),1,2,3,Depayin,MMR005010
 Foreign Passport,8,9,17,Depayin,MMR005010
 None,12150,18112,30262,Depayin,MMR005010
 Child under 10 years,13246,13121,26367,Depayin,MMR005010
 Total,64396,76419,140815,Depayin,MMR005010
