Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),25421,27312,52733,Dimawso,MMR002002
 Associate Scrutiny Card (blue),20,21,41,Dimawso,MMR002002
 Naturalised Scrutiny Card (green),75,72,147,Dimawso,MMR002002
 National Registration Card (3-fold),41,95,136,Dimawso,MMR002002
 Religious card,66,18,84,Dimawso,MMR002002
 Temporary Registration Card (white),10,10,20,Dimawso,MMR002002
 Foreign Registration Card (FRC),7,10,17,Dimawso,MMR002002
 Foreign Passport,6,2,8,Dimawso,MMR002002
 None,2607,2648,5255,Dimawso,MMR002002
 Child under 10 years,10683,10077,20760,Dimawso,MMR002002
 Total,38936,40265,79201,Dimawso,MMR002002
