Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),43127,49147,92274,Gangaw,MMR009023
 Associate Scrutiny Card (blue),7,14,21,Gangaw,MMR009023
 Naturalised Scrutiny Card (green),66,26,92,Gangaw,MMR009023
 National Registration Card (3-fold),152,192,344,Gangaw,MMR009023
 Religious card,448,53,501,Gangaw,MMR009023
 Temporary Registration Card (white),32,42,74,Gangaw,MMR009023
 Foreign Registration Card (FRC),6,1,7,Gangaw,MMR009023
 Foreign Passport,4,7,11,Gangaw,MMR009023
 None,8491,9072,17563,Gangaw,MMR009023
 Child under 10 years,11087,11321,22408,Gangaw,MMR009023
 Total,63420,69875,133295,Gangaw,MMR009023
