Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),38746,40450,79196,Hsihseng,MMR014004
 Associate Scrutiny Card (blue),43,55,98,Hsihseng,MMR014004
 Naturalised Scrutiny Card (green),112,56,168,Hsihseng,MMR014004
 National Registration Card (3-fold),541,575,1116,Hsihseng,MMR014004
 Religious card,498,15,513,Hsihseng,MMR014004
 Temporary Registration Card (white),61,39,100,Hsihseng,MMR014004
 Foreign Registration Card (FRC),3,7,10,Hsihseng,MMR014004
 Foreign Passport,15,11,26,Hsihseng,MMR014004
 None,16043,18135,34178,Hsihseng,MMR014004
 Child under 10 years,18674,18953,37627,Hsihseng,MMR014004
 Total,74736,78296,153032,Hsihseng,MMR014004
