Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),6900,5951,12851,Kaleinaung(ST),MMR006004
 Associate Scrutiny Card (blue),4,4,8,Kaleinaung(ST),MMR006004
 Naturalised Scrutiny Card (green),16,11,27,Kaleinaung(ST),MMR006004
 National Registration Card (3-fold),70,95,165,Kaleinaung(ST),MMR006004
 Religious card,40,2,42,Kaleinaung(ST),MMR006004
 Temporary Registration Card (white),12,6,18,Kaleinaung(ST),MMR006004
 Foreign Registration Card (FRC),2,-,2,Kaleinaung(ST),MMR006004
 Foreign Passport,-,1,1,Kaleinaung(ST),MMR006004
 None,2143,1884,4027,Kaleinaung(ST),MMR006004
 Child under 10 years,2472,2252,4724,Kaleinaung(ST),MMR006004
 Total,11659,10206,21865,Kaleinaung(ST),MMR006004
