Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),4507,4355,8862,Kamamaung(ST},MMR003003
 Associate Scrutiny Card (blue),3,2,5,Kamamaung(ST},MMR003003
 Naturalised Scrutiny Card (green),21,8,29,Kamamaung(ST},MMR003003
 National Registration Card (3-fold),155,185,340,Kamamaung(ST},MMR003003
 Religious card,37,5,42,Kamamaung(ST},MMR003003
 Temporary Registration Card (white),75,111,186,Kamamaung(ST},MMR003003
 Foreign Passport,-,1,1,Kamamaung(ST},MMR003003
 None,2938,3268,6206,Kamamaung(ST},MMR003003
 Child under 10 years,2648,2576,5224,Kamamaung(ST},MMR003003
 Total,10384,10511,20895,Kamamaung(ST},MMR003003
