Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),5253,5231,10484,Kamine(ST),MMR001009
 Associate Scrutiny Card (blue),4,3,7,Kamine(ST),MMR001009
 Naturalised Scrutiny Card (green),17,13,30,Kamine(ST),MMR001009
 National Registration Card (3-fold),56,72,128,Kamine(ST),MMR001009
 Religious card,51,3,54,Kamine(ST),MMR001009
 Temporary Registration Card (white),82,85,167,Kamine(ST),MMR001009
 Foreign Passport,1,-,1,Kamine(ST),MMR001009
 None,1862,1964,3826,Kamine(ST),MMR001009
 Child under 10 years,2364,2369,4733,Kamine(ST),MMR001009
 Total,9690,9740,19430,Kamine(ST),MMR001009
