Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),1582,1513,3095,Kanpaikti(ST),MMR001002
 Associate Scrutiny Card (blue),5,3,8,Kanpaikti(ST),MMR001002
 Naturalised Scrutiny Card (green),175,143,318,Kanpaikti(ST),MMR001002
 National Registration Card (3-fold),41,26,67,Kanpaikti(ST),MMR001002
 Temporary Registration Card (white),39,39,78,Kanpaikti(ST),MMR001002
 Foreign Registration Card (FRC),7,3,10,Kanpaikti(ST),MMR001002
 Foreign Passport,101,18,119,Kanpaikti(ST),MMR001002
 None,1649,1449,3098,Kanpaikti(ST),MMR001002
 Child under 10 years,929,960,1889,Kanpaikti(ST),MMR001002
 Total,4528,4154,8682,Kanpaikti(ST),MMR001002
