Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),41383,47368,88751,Khin U,MMR005005
 Associate Scrutiny Card (blue),9,15,24,Khin U,MMR005005
 Naturalised Scrutiny Card (green),129,78,207,Khin U,MMR005005
 National Registration Card (3-fold),417,609,1026,Khin U,MMR005005
 Religious card,591,27,618,Khin U,MMR005005
 Temporary Registration Card (white),95,101,196,Khin U,MMR005005
 Foreign Passport,13,15,28,Khin U,MMR005005
 None,13037,18288,31325,Khin U,MMR005005
 Child under 10 years,12255,12027,24282,Khin U,MMR005005
 Total,67929,78528,146457,Khin U,MMR005005
