Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),19150,18794,37944,Kukai,MMR015011
 Associate Scrutiny Card (blue),52,51,103,Kukai,MMR015011
 Naturalised Scrutiny Card (green),267,123,390,Kukai,MMR015011
 National Registration Card (3-fold),2642,2906,5548,Kukai,MMR015011
 Religious card,101,13,114,Kukai,MMR015011
 Temporary Registration Card (white),247,211,458,Kukai,MMR015011
 Foreign Registration Card (FRC),15,17,32,Kukai,MMR015011
 Foreign Passport,19,10,29,Kukai,MMR015011
 None,15719,17012,32731,Kukai,MMR015011
 Child under 10 years,12035,11950,23985,Kukai,MMR015011
 Total,50247,51087,101334,Kukai,MMR015011
