Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),7680,6634,14314,Kyaidon(ST),MMR003007
 Associate Scrutiny Card (blue),7,8,15,Kyaidon(ST),MMR003007
 Naturalised Scrutiny Card (green),26,5,31,Kyaidon(ST),MMR003007
 National Registration Card (3-fold),164,149,313,Kyaidon(ST),MMR003007
 Religious card,71,7,78,Kyaidon(ST),MMR003007
 Temporary Registration Card (white),78,128,206,Kyaidon(ST),MMR003007
 Foreign Registration Card (FRC),9,4,13,Kyaidon(ST),MMR003007
 Foreign Passport,4,1,5,Kyaidon(ST),MMR003007
 None,13229,13836,27065,Kyaidon(ST),MMR003007
 Child under 10 years,8012,7886,15898,Kyaidon(ST),MMR003007
 Total,29280,28658,57938,Kyaidon(ST),MMR003007
