Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),37816,44625,82441,Kyaikemaraw,MMR011002
 Associate Scrutiny Card (blue),30,37,67,Kyaikemaraw,MMR011002
 Naturalised Scrutiny Card (green),246,68,314,Kyaikemaraw,MMR011002
 National Registration Card (3-fold),5991,8790,14781,Kyaikemaraw,MMR011002
 Religious card,646,25,671,Kyaikemaraw,MMR011002
 Temporary Registration Card (white),153,146,299,Kyaikemaraw,MMR011002
 Foreign Registration Card (FRC),1,-,1,Kyaikemaraw,MMR011002
 Foreign Passport,41,18,59,Kyaikemaraw,MMR011002
 None,24845,27166,52011,Kyaikemaraw,MMR011002
 Child under 10 years,22977,22189,45166,Kyaikemaraw,MMR011002
 Total,92746,103064,195810,Kyaikemaraw,MMR011002
