Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),45690,47338,93028,Kyaungon,MMR017007
 Associate Scrutiny Card (blue),13,12,25,Kyaungon,MMR017007
 Naturalised Scrutiny Card (green),90,63,153,Kyaungon,MMR017007
 National Registration Card (3-fold),236,339,575,Kyaungon,MMR017007
 Religious card,380,19,399,Kyaungon,MMR017007
 Temporary Registration Card (white),96,86,182,Kyaungon,MMR017007
 Foreign Registration Card (FRC),3,1,4,Kyaungon,MMR017007
 Foreign Passport,19,13,32,Kyaungon,MMR017007
 None,16886,21685,38571,Kyaungon,MMR017007
 Child under 10 years,15342,14724,30066,Kyaungon,MMR017007
 Total,78755,84280,163035,Kyaungon,MMR017007
