Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),34638,40634,75272,Kyimyindine,MMR013038
 Associate Scrutiny Card (blue),73,108,181,Kyimyindine,MMR013038
 Naturalised Scrutiny Card (green),294,289,583,Kyimyindine,MMR013038
 National Registration Card (3-fold),580,815,1395,Kyimyindine,MMR013038
 Religious card,496,17,513,Kyimyindine,MMR013038
 Temporary Registration Card (white),367,501,868,Kyimyindine,MMR013038
 Foreign Registration Card (FRC),21,35,56,Kyimyindine,MMR013038
 Foreign Passport,127,21,148,Kyimyindine,MMR013038
 None,8046,8869,16915,Kyimyindine,MMR013038
 Child under 10 years,7985,7598,15583,Kyimyindine,MMR013038
 Total,52627,58887,111514,Kyimyindine,MMR013038
