Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),31860,33582,65442,Kyunhlau,MMR005008
 Associate Scrutiny Card (blue),2,3,5,Kyunhlau,MMR005008
 Naturalised Scrutiny Card (green),27,21,48,Kyunhlau,MMR005008
 National Registration Card (3-fold),38,36,74,Kyunhlau,MMR005008
 Religious card,287,26,313,Kyunhlau,MMR005008
 Temporary Registration Card (white),102,79,181,Kyunhlau,MMR005008
 Foreign Registration Card (FRC),1,1,2,Kyunhlau,MMR005008
 Foreign Passport,2,2,4,Kyunhlau,MMR005008
 None,8864,9215,18079,Kyunhlau,MMR005008
 Child under 10 years,9942,9997,19939,Kyunhlau,MMR005008
 Total,51125,52962,104087,Kyunhlau,MMR005008
