Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),8037,11431,19468,Latha,MMR013036
 Associate Scrutiny Card (blue),423,504,927,Latha,MMR013036
 Naturalised Scrutiny Card (green),415,505,920,Latha,MMR013036
 National Registration Card (3-fold),41,84,125,Latha,MMR013036
 Religious card,17,3,20,Latha,MMR013036
 Temporary Registration Card (white),69,54,123,Latha,MMR013036
 Foreign Registration Card (FRC),90,119,209,Latha,MMR013036
 Foreign Passport,110,28,138,Latha,MMR013036
 None,783,879,1662,Latha,MMR013036
 Child under 10 years,743,722,1465,Latha,MMR013036
 Total,10728,14329,25057,Latha,MMR013036
