Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),2437,2441,4878,Leshi,MMR005035
 Associate Scrutiny Card (blue),8,1,9,Leshi,MMR005035
 Naturalised Scrutiny Card (green),7,4,11,Leshi,MMR005035
 National Registration Card (3-fold),15,35,50,Leshi,MMR005035
 Religious card,10,1,11,Leshi,MMR005035
 Temporary Registration Card (white),2,6,8,Leshi,MMR005035
 Foreign Registration Card (FRC),2,-,2,Leshi,MMR005035
 Foreign Passport,1,-,1,Leshi,MMR005035
 None,695,743,1438,Leshi,MMR005035
 Child under 10 years,1314,1339,2653,Leshi,MMR005035
 Total,4491,4570,9061,Leshi,MMR005035
