Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),41882,45363,87245,Letpadan,MMR008008
 Associate Scrutiny Card (blue),25,31,56,Letpadan,MMR008008
 Naturalised Scrutiny Card (green),185,171,356,Letpadan,MMR008008
 National Registration Card (3-fold),322,586,908,Letpadan,MMR008008
 Religious card,560,25,585,Letpadan,MMR008008
 Temporary Registration Card (white),315,498,813,Letpadan,MMR008008
 Foreign Registration Card (FRC),7,11,18,Letpadan,MMR008008
 Foreign Passport,10,10,20,Letpadan,MMR008008
 None,24069,29571,53640,Letpadan,MMR008008
 Child under 10 years,17021,16745,33766,Letpadan,MMR008008
 Total,84396,93011,177407,Letpadan,MMR008008
