Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),14940,16826,31766,Loilem,MMR014011
 Associate Scrutiny Card (blue),11,17,28,Loilem,MMR014011
 Naturalised Scrutiny Card (green),40,31,71,Loilem,MMR014011
 National Registration Card (3-fold),71,77,148,Loilem,MMR014011
 Religious card,253,8,261,Loilem,MMR014011
 Temporary Registration Card (white),15,6,21,Loilem,MMR014011
 Foreign Registration Card (FRC),3,3,6,Loilem,MMR014011
 Foreign Passport,5,3,8,Loilem,MMR014011
 None,4064,4415,8479,Loilem,MMR014011
 Child under 10 years,5829,5754,11583,Loilem,MMR014011
 Total,25231,27140,52371,Loilem,MMR014011
